"SampleID","ID.2","ID","BD","Strain","Light_treatment","Temp","Replicate","Perc_totEvents","Perc_Diatoms","Perc_LiveDiatoms","Bodipy_Median","Size_Median","Chlorophyll_Median","Bodipy_Sd","Size_Sd","Chlorophyll_Sd","Perc_Unhealthy","SSC_Med","SSC_SD","Bodipy_scaled","treatment","mean_lightBD","fold_change","treatment_combo","lipid_per_size","prop_dead","growthrateB"
"2D_004_BD_008.fcs","716DLR1bd","716DLR1","bd",716,"Dark",1,1,100,63.5,91.9,796,38592,1072,891,18402,1060,8.12,19392,13983,0.0168594061083577,"Dark1",9758.66666666667,0.0815685202896571,"Dark_1C",0.0206260364842454,0.609375,0.079508574
"2D_005_BD_010.fcs","716DLR2bd","716DLR2","bd",716,"Dark",1,2,100,58.6,88.6,791,39744,1086,657,17086,1280,11.4,19136,13074,0.0167535053162198,"Dark1",9758.66666666667,0.0810561552124607,"Dark_1C",0.0199023752012882,0.614754098,0.069019125
"2D_006_BD_012.fcs","716DLR3bd","716DLR3","bd",716,"Dark",1,3,100,64,92,1046,45184,1067,7556,23293,2438,8.02,26688,20001,0.022154445715254,"Dark1",9758.66666666667,0.107186774149474,"Dark_1C",0.0231497875354108,0.732876712,0.084618131
"2l_001_BD_002.fcs","716CLR1bd","716CLR1","bd",716,"Light",1,1,100,74.8,55,9795,72448,4944,6545,22081,4909,45,18624,8952,0.207459651798195,"Light1",9758.66666666667,1.00372318622763,"Light_1C",0.135200419611307,0.258196721,0.079869512
"2l_002_BD_004.fcs","716CLR2bd","716CLR2","bd",716,"Light",1,2,100,76.1,41.1,9817,70464,4566,6602,21632,4364,58.9,18048,9820,0.207925615283602,"Light1",9758.66666666667,1.00597759256729,"Light_1C",0.139319368755677,0.341991342,0.072767717
"2l_003_BD_006.fcs","716CLR3bd","716CLR3","bd",716,"Light",1,3,100,74.7,39,9664,69888,4955,7042,24028,4644,61,18752,11220,0.204685051044182,"Light1",9758.66666666667,0.990299221205083,"Light_1C",0.138278388278388,0.362869198,0.090232414
"5D_010_BD_020.fcs","716DHR1bd","716DHR1","bd",716,"Dark",4,1,100,66.1,95.6,998,46080,1022,2610,23463,1027,4.44,30912,17851,0.0211377981107299,"Dark4",8243.66666666667,0.121062633941207,"Dark_4C",0.0216579861111111,0.804123711,0.110101501
"5D_011_BD_022.fcs","716DHR2bd","716DHR2","bd",716,"Dark",4,2,100,59.4,92.9,866,41856,817,1349,22884,1181,7.05,26112,18267,0.0183420171982886,"Dark4",8243.66666666667,0.105050341676438,"Dark_4C",0.0206899847094801,0.739130435,0.099138085
"5D_012_BD_024.fcs","716DHR3bd","716DHR3","bd",716,"Dark",4,3,100,64.3,96.6,1010,47104,923,1036,22556,580,3.45,31040,15958,0.0213919600118609,"Dark4",8243.66666666667,0.122518296874368,"Dark_4C",0.0214419157608696,0.811881188,0.098099673
"5L_007_BD_014.fcs","716CHR1bd","716CHR1","bd",716,"Light",4,1,100,70.9,34.9,9177,73024,4281,5131,29348,4349,65.1,18624,19489,0.194370313889948,"Light4",8243.66666666667,1.11321822813473,"Light_4C",0.125671012269939,0.528634361,0.129290941
"5L_008_BD_016.fcs","716CHR2bd","716CHR2","bd",716,"Light",4,2,100,81.4,34.2,7562,64896,5664,5134,22286,3517,65.8,15616,9569,0.160164358029398,"Light4",8243.66666666667,0.917310258380171,"Light_4C",0.116524901380671,0.46460177,0.151659968
"5L_009_BD_018.fcs","716CHR3bd","716CHR3","bd",716,"Light",4,3,100,79.3,31.8,7992,63232,5580,5039,21783,3607,68.2,15360,8609,0.16927182615326,"Light4",8243.66666666667,0.9694715134851,"Light_4C",0.126391700404858,0.712025316,0.232611846
